Timestamp,Gender,Age Range,Occupation,Monthly Income Range,Laptop Brand,RAM,Processor
3/9/2022 17:19:33,Male,21 - 30,Student,Unpaid,HP,4GB,Intel Core i5
3/9/2022 17:28:16,Male,10 - 20,Student,Unpaid,HP,4GB,Intel Core i3
3/9/2022 17:29:58,Male,10 - 20,Student,Unpaid,HP,4GB,Intel Core i3
3/9/2022 17:30:17,Female,10 - 20,Student,Unpaid,Accer,8GB,Intel Core i3
3/9/2022 17:32:14,Male,10 - 20,Student,Unpaid,HP,4GB,Intel Core i7
3/9/2022 17:34:26,Female,10 - 20,Student,Unpaid,HP,4GB,Intel Core i5
3/9/2022 17:37:56,Female,10 - 20,Student,Unpaid,HP,16GB,Intel Core i3
3/9/2022 17:41:32,Male,21 - 30,Senior software engineer,More than 250k,Dell,8GB,Intel Core i7
3/9/2022 17:44:15,Male,21 - 30,Undergraduate,10k - 50k,Dell,4GB,Intel Core i3
3/9/2022 17:45:24,Male,10 - 20,Student,Unpaid,Lenovo,4GB,Intel Core i3
3/9/2022 17:47:02,Female,10 - 20,Student,Unpaid,Dell,8GB,Intel Core i3
3/9/2022 17:47:57,Male,10 - 20,Student,Unpaid,Dell,4GB,Intel Core i3
3/9/2022 17:48:44,Male,10 - 20,Student,Unpaid,Dell,16GB,Intel Core i5
3/9/2022 17:49:51,Female,10 - 20,Student,Unpaid,Dell,4GB,Intel Core i3
3/9/2022 17:50:43,Male,10 - 20,Student,Unpaid,Asus,2GB,celeron
3/9/2022 17:54:02,Male,10 - 20,Student,Unpaid,Toshiba,8GB,Intel Core i7
3/9/2022 17:55:19,Male,21 - 30,Undergraduate,Unpaid,Asus,8GB,Intel Core i5
3/9/2022 17:58:31,Male,10 - 20,Student,Unpaid,Accer,8GB,Intel Core i5
3/9/2022 17:59:06,Male,10 - 20,Student,Unpaid,HP,4GB,Dual Core
3/9/2022 17:59:44,Male,10 - 20,Student,Unpaid,Accer,4GB,Intel Core i5
3/9/2022 18:01:11,Male,10 - 20,Student,Unpaid,Dell,4GB,Intel Core i3
3/9/2022 18:06:43,Female,10 - 20,Student,Unpaid,Asus,8GB,Intel Core i7
3/9/2022 18:10:38,Male,10 - 20,Student,10k - 50k,Accer,4GB,Intel Core i5
3/9/2022 18:11:29,Female,10 - 20,Student,Unpaid,Singer,2GB,Intel(R) Celeron(R) CPU 1037U
3/9/2022 18:13:14,Male,10 - 20,Student,10k - 50k,Dell,8GB,Intel Core i3
3/9/2022 18:13:19,Male,10 - 20,Student,Unpaid,Dell,4GB,Intel Core i3
3/9/2022 18:13:48,Female,10 - 20,Student,Unpaid,Accer,4GB,Intel Core i3
3/9/2022 18:15:00,Female,10 - 20,Student,Unpaid,Fujitsu Lifebook A,2GB,Intel Core i5
3/9/2022 18:17:14,Female,10 - 20,Student,Unpaid,Dell,16GB,Intel Core i7
3/9/2022 18:27:13,Male,10 - 20,Student,Unpaid,HP,8GB,Intel Core i5
3/9/2022 18:27:49,Female,21 - 30,Undergraduate,Unpaid,Dell,4GB,Intel Core i3
3/9/2022 18:28:05,Female,10 - 20,Student,Unpaid,Dell,8GB,Intel Core i3
3/9/2022 18:29:23,Female,10 - 20,Student,Unpaid,HP,16GB,Intel Core i7
3/9/2022 18:34:11,Female,21 - 30,Undergraduate,Unpaid,HP,4GB,Intel Core i5
3/9/2022 18:34:40,Female,10 - 20,Student,Unpaid,Accer,4GB,Intel Core i3
3/9/2022 18:46:14,Male,21 - 30,Undergraduate,10k - 50k,Asus,16GB,Intel Core i7
3/9/2022 18:47:10,Male,10 - 20,Student,Unpaid,Dell,4GB,Intel Core i3
3/9/2022 18:48:38,Female,21 - 30,Undergraduate,Unpaid,Dell,4GB,Intel Core i3
3/9/2022 18:50:45,Male,21 - 30,Undergraduate,Unpaid,Dell,8GB,Intel Core i7
3/9/2022 19:13:45,Male,21 - 30,Student,Unpaid,HP,4GB,Intel Core i5
3/9/2022 19:20:02,Male,21 - 30,Undergraduate,Unpaid,Dell,8GB,Intel Core i7
3/9/2022 19:42:53,Female,10 - 20,Student,Unpaid,Accer,4GB,Intel Core i3
3/9/2022 19:48:31,Female,10 - 20,Student,Unpaid,Dell,16GB,Dual Core
3/9/2022 19:52:50,Male,10 - 20,Student,Unpaid,HP,4GB,Intel Core i3
3/9/2022 19:57:30,Female,10 - 20,Student,Unpaid,HP,32GB,Intel Core i5
3/9/2022 19:57:56,Female,21 - 30,Undergraduate,Unpaid,HP,16GB,AMD Ryzen 7
3/9/2022 20:00:20,Male,21 - 30,Undergraduate,Unpaid,Acer,8GB,Intel Core i5
3/9/2022 20:01:37,Female,10 - 20,Student,Unpaid,HP,4GB,Intel Core i3
3/9/2022 20:26:22,Female,21 - 30,Undergraduate,Unpaid,HP,8GB,Intel Core i5
3/9/2022 20:33:49,Male,21 - 30,Undergraduate,50k - 100k,HP,8GB,Intel Core i5
3/9/2022 20:34:48,Male,10 - 20,Student,Unpaid,Accer,8GB,Intel Core i5
3/9/2022 20:41:44,Male,10 - 20,Student,Unpaid,HP,4GB,Intel Core i3
3/9/2022 21:12:11,Male,21 - 30,Undergraduate,Unpaid,Asus,8GB,Intel Core i7
3/9/2022 21:14:18,Female,10 - 20,Student,Unpaid,HP,16GB,Dual Core
3/9/2022 21:19:04,Female,21 - 30,Undergraduate,10k - 50k,Dell,8GB,Intel Core i3
3/9/2022 21:25:20,Female,21 - 30,Undergraduate,Unpaid,Asus,4GB,Intel Core i3
3/9/2022 21:26:30,Female,21 - 30,Undergraduate,Unpaid,Lenovo,16GB,Intel Core i3
3/9/2022 21:27:45,Male,21 - 30,DevOps Engineer ,More than 250k,Lenovo,16GB,Intel Core i7
3/9/2022 21:27:57,Male,21 - 30,Undergraduate,10k - 50k,Asus,8GB,Intel Core i3
3/9/2022 21:31:53,Male,21 - 30,Undergraduate,Unpaid,Dell,12 GB,Intel Core i5
3/9/2022 21:38:17,Female,10 - 20,Student,Unpaid,Dell,16GB,Dual Core
3/9/2022 21:45:28,Male,21 - 30,Senior software engineer,More than 250k,Apple,16GB,Intel Core i7
3/9/2022 21:46:07,Male,10 - 20,Student,Unpaid,Asus,8GB,Intel Core i3
3/9/2022 21:51:11,Male,21 - 30,Undergraduate,Unpaid,Asus,12GB,Intel Core i3
3/9/2022 21:56:57,Female,10 - 20,Student,Unpaid,Dell,8GB,AMD Ryzen 5
3/9/2022 22:03:10,Male,21 - 30,Undergraduate,Unpaid,MSI,8GB,Intel Core i7
3/9/2022 22:07:33,Male,21 - 30,Undergraduate,10k - 50k,Asus,8GB,Intel Core i5
3/9/2022 22:07:56,Male,21 - 30,Software engineer,More than 250k,HP,8GB,Intel Core i7
3/9/2022 22:17:56,Male,21 - 30,Senior software engineer,100k - 150k,Accer,16GB,Intel Core i5
3/9/2022 22:31:33,Male,21 - 30,Undergraduate,Unpaid,Asus,8GB,Intel Core i5
3/9/2022 22:35:16,Male,21 - 30,Undergraduate,Unpaid,Accer,8GB,Intel Core i7
3/9/2022 22:40:47,Female,21 - 30,Undergraduate,Unpaid,Accer,12GB,Intel Core i5
3/9/2022 22:53:42,Male,21 - 30,Software engineer,More than 250k,Apple,16GB,M1 Pro
3/9/2022 22:55:04,Male,21 - 30,Software engineer,More than 250k,Lenovo,16GB,Intel Core i7
3/9/2022 23:00:23,Female,21 - 30,Public Service Officer ,10k - 50k,HP,8GB,Dual Core
3/9/2022 23:24:46,Male,21 - 30,Technical lead,More than 250k,Lenovo,16GB,Intel Core i5
3/10/2022 0:05:15,Female,21 - 30,Undergraduate,Unpaid,HP,12GB,Intel Core i5
3/10/2022 5:00:50,Female,31 - 40,Teacher,50k - 100k,Dell,4GB,Intel Core i3
3/10/2022 6:19:31,Male,21 - 30,Undergraduate,Unpaid,Dell,12GB,Intel Core i5
3/10/2022 6:56:17,Female,10 - 20,Student,Unpaid,Dell,8GB,Intel Core i5
3/10/2022 7:08:48,Male,21 - 30,Undergraduate,100k - 150k,Dell,8GB,Intel Core i3
3/10/2022 7:14:21,Female,21 - 30,Undergraduate,Unpaid,Dell,16GB,Intel Core i3
3/10/2022 7:15:27,Female,10 - 20,Student,Unpaid,Accer,8GB,Intel Core i5
3/10/2022 7:16:52,Female,10 - 20,Student,Unpaid,Dell,16GB,Intel Core i3
3/10/2022 8:28:11,Female,21 - 30,Undergraduate,Unpaid,Dell,4GB,AMD Ryzen 3
3/10/2022 8:57:26,Male,21 - 30,Student,Unpaid,Asus,4GB,Intel Core i3
3/10/2022 9:06:25,Female,10 - 20,Student,Unpaid,Dell,4GB,Intel Core i5
3/10/2022 9:12:11,Male,10 - 20,Student,Unpaid,HP,4GB,Intel Core i3
3/10/2022 9:32:03,Female,21 - 30,Undergraduate,Unpaid,HP,16GB,Intel Core i5
3/10/2022 9:38:55,Female,21 - 30,Undergraduate,10k - 50k,HP,8GB,Intel Core i5
3/10/2022 10:55:24,Male,21 - 30,Business Operations Manager,50k - 100k,Asus,12GB,Intel Core i7
3/10/2022 11:01:17,Female,31 - 40,QA engineer,50k - 100k,HP,8GB,Intel Core i7
3/10/2022 11:21:42,Male,21 - 30,Undergraduate,10k - 50k,HP,8GB,Intel Core i5
3/10/2022 15:50:29,Female,10 - 20,Student,Unpaid,Toshiba,4GB,Intel Core i3
3/10/2022 15:52:49,Female,10 - 20,Student,Unpaid,Dell,16GB,Intel Core i3
3/10/2022 16:10:59,Female,10 - 20,Student,Unpaid,HP,8GB,Intel Core i5
3/10/2022 16:33:10,Male,21 - 30,Teacher,10k - 50k,Dell,4GB,Intel Core i3
3/10/2022 20:11:46,Male,10 - 20,Student,Unpaid,Accer,8GB,Intel Core i3
3/10/2022 20:53:06,Female,10 - 20,Student,Unpaid,HP,16GB,Intel Core i5
3/11/2022 12:31:40,Male,10 - 20,Student,Unpaid,Dell,4GB,Intel Core i3
3/11/2022 14:09:00,Female,41 - 50,Teacher,100k - 150k,Dell,8GB,Intel Core i3
3/11/2022 16:13:22,Male,10 - 20,Student,Unpaid,Dell,12GB,Intel Core i5
3/11/2022 17:51:02,Male,31 - 40,Senior software engineer,More than 250k,Dell,16GB,Intel Core i7
3/11/2022 17:55:05,Female,21 - 30,QA engineer,50k - 100k,Dell,8GB,Intel Core i5
3/11/2022 19:54:47,Female,10 - 20,Student,Unpaid,HP,4GB,Dual Core
3/11/2022 23:36:44,Male,21 - 30,Undergraduate,100k - 150k,Apple,8GB,M1 
3/11/2022 23:50:49,Male,21 - 30,Undergraduate,Unpaid,Dell,8GB,Intel Core i5
3/12/2022 2:54:19,Male,21 - 30,Software engineer,100k - 150k,Dell,8GB,Intel Core i5
3/12/2022 11:40:03,Female,10 - 20,Student,Unpaid,Dell,8GB,Intel Core i5
3/13/2022 20:48:27,Male,31 - 40,UI/UX engineer,100k - 150k,HP,8GB,Intel Core i5
3/15/2022 13:30:25,Female,21 - 30,Student,Unpaid,Accer,12GB,Intel Core i3
3/15/2022 17:41:42,Male,10 - 20,Student,Unpaid,HP,4GB,Intel Core i3
3/15/2022 17:55:31,Male,10 - 20,Student,Unpaid,HP,11GB,AMD Ryzen 3
3/15/2022 23:33:00,Female,21 - 30,Teacher,50k - 100k,Asus,8GB,Intel Core i5
3/15/2022 23:36:14,Male,21 - 30,Senior software engineer,200k - 250k,Lenovo,16GB,Intel Core i7
3/17/2022 13:13:22,Male,21 - 30,Software engineer,100k - 150k,Dell,8GB,Intel Core i5
3/17/2022 13:23:35,Female,31 - 40,Technical lead,More than 250k,Lenovo,8GB,AMD Ryzen 5
3/17/2022 13:25:01,Female,31 - 40,Associate technical lead,More than 250k,Dell,8GB,AMD Ryzen 5
3/17/2022 13:27:08,Male,31 - 40,Technical lead,More than 250k,Lenovo,8GB,Intel Core i5
3/17/2022 13:29:08,Male,31 - 40,Associate technical lead,More than 250k,Dell,8GB,Intel Core i5
3/17/2022 13:29:59,Male,31 - 40,Technical lead,More than 250k,Lenovo,8GB,AMD Ryzen 5
3/17/2022 13:31:14,Male,31 - 40,Associate software engineer,100k - 150k,HP,8GB,AMD Ryzen 5
3/17/2022 13:32:53,Male,31 - 40,Associate technical lead,More than 250k,Lenovo,8GB,Intel Core i5
3/17/2022 13:34:16,Male,31 - 40,Technical lead,More than 250k,HP,8GB,Intel Core i5
3/17/2022 13:35:14,Male,31 - 40,Associate technical lead,More than 250k,HP,8GB,Intel Core i5
3/17/2022 13:36:22,Female,31 - 40,Technical lead,More than 250k,Dell,8GB,AMD Ryzen 5
3/17/2022 13:37:30,Female,31 - 40,Technical lead,More than 250k,Dell,8GB,Intel Core i5
3/17/2022 13:39:21,Female,31 - 40,Associate technical lead,More than 250k,Dell,8GB,AMD Ryzen 5
3/17/2022 13:40:51,Male,21 - 30,Senior software engineer,200k - 250k,Dell,8GB,AMD Ryzen 5
3/17/2022 13:42:13,Male,21 - 30,Software engineer,150k - 200k,HP,8GB,Intel Core i5
3/17/2022 13:43:59,Female,21 - 30,Senior software engineer,200k - 250k,Dell,8GB,AMD Ryzen 5
3/17/2022 13:45:20,Female,31 - 40,Software engineer,150k - 200k,HP,8GB,AMD Ryzen 5
3/17/2022 13:46:16,Female,21 - 30,Software engineer,150k - 200k,Dell,8GB,Intel Core i5
3/17/2022 13:47:23,Male,21 - 30,Senior software engineer,200k - 250k,Dell,8GB,AMD Ryzen 5
3/17/2022 13:48:21,Male,21 - 30,Software engineer,150k - 200k,HP,8GB,Intel Core i5
3/17/2022 13:49:47,Female,21 - 30,Senior software engineer,150k - 200k,HP,8GB,AMD Ryzen 5
3/17/2022 13:50:57,Female,21 - 30,Software engineer,150k - 200k,Dell,8GB,Intel Core i5
3/17/2022 13:52:37,Male,21 - 30,Senior software engineer,200k - 250k,Dell,8GB,Intel Core i5
3/17/2022 13:54:10,Female,21 - 30,Senior software engineer,200k - 250k,Dell,8GB,Intel Core i5
3/17/2022 13:59:15,Female,21 - 30,QA engineer,50k - 100k,Dell,8GB,AMD Ryzen 5
3/17/2022 14:03:53,Female,21 - 30,QA engineer,50k - 100k,Accer,8GB,Intel Core i5
3/17/2022 15:47:51,Female,21 - 30,Associate software engineer,50k - 100k,Asus,8GB,AMD Ryzen 5
3/17/2022 15:48:33,Male,21 - 30,Software engineer,100k - 150k,Asus,16GB,AMD Ryzen 7
3/17/2022 15:49:16,Male,21 - 30,Associate technical lead,200k - 250k,Asus,16GB,Intel Core i7
3/17/2022 15:49:58,Female,21 - 30,UI/UX engineer,100k - 150k,Dell,8GB,AMD Ryzen 5
3/17/2022 15:51:27,Male,21 - 30,Senior software engineer,More than 250k,Lenovo,8GB,AMD Ryzen 7
3/17/2022 15:53:37,Male,21 - 30,Senior software engineer,200k - 250k,Dell,16GB,AMD Ryzen 5
3/17/2022 15:54:23,Male,21 - 30,Software engineer,100k - 150k,Asus,8GB,Intel Core i5
3/17/2022 15:55:38,Female,21 - 30,UI/UX engineer,150k - 200k,Apple,8GB,M2
3/17/2022 15:57:02,Male,31 - 40,Doctor,100k - 150k,HP,8GB,AMD Ryzen 5
3/17/2022 16:00:13,Female,21 - 30,Senior software engineer,150k - 200k,Dell,8GB,AMD Ryzen 7
3/17/2022 16:04:29,Male,31 - 40,Teacher,10k - 50k,HP,4GB,Dual Core
3/17/2022 16:05:29,Female,31 - 40,Doctor,100k - 150k,Accer,8GB,Intel Core i5
3/17/2022 16:06:31,Female,41 - 50,Teacher,50k - 100k,HP,4GB,Intel Core i3
3/17/2022 16:07:16,Male,41 - 50,Teacher,50k - 100k,Lenovo,8GB,AMD Ryzen 3
3/17/2022 16:11:27,Male,31 - 40,Doctor,100k - 150k,Toshiba,8GB,Intel Core i5
3/17/2022 16:12:26,Male,31 - 40,Teacher,50k - 100k,Accer,4GB,Intel Core i3
3/17/2022 16:13:00,Male,31 - 40,Doctor,50k - 100k,HP,4GB,Intel Core i3
3/17/2022 16:13:51,Female,41 - 50,Teacher,50k - 100k,Asus,8GB,Intel Core i5
3/17/2022 16:15:52,Female,31 - 40,Teacher,50k - 100k,Asus,16GB,AMD Ryzen 7
3/17/2022 20:14:11,Male,10 - 20,Student,Unpaid,Dell,4GB,Intel Core i5
